University Name ,State,PercentUndergradMenEnrolled,NPercentUndergradMenEnrolled,PercentUndergradWomenEnrolled,NPercentUndergradWomenEnrolled,PercentUndergradOtherGenderEnrolled,NPercentUndergradOtherGenderEnrolled,TotalUndergraduateEnrolled,NTotalUndergraduateEnrolled,PercentGraduateMenEnrolled,NPercentGraduateMenEnrolled,PercentGraduateWomenEnrolled,NPercentGraduateWomenEnrolled,PercentGraduateOtherGenderEnrolled,NPercentGraduateOtherGenderEnrolled,TotalGraduateEnrolled,NTotalGraduateEnrolled,PercentMenEnrolled,NPercentMenEnrolled,PercentWomenEnrolled,NPercentWomenEnrolled,TotalAllStudentsEnrolled,NTotalAllStudentsEnrolled,PercentNonResidentUndergrad,NPercentNonResidentUndergrad,PercentHispanicUndergrad,NPercentHispanicUndergrad,PercentBlackUndergrad,NPercentBlackUndergrad,PercentWhiteUndergrad,NPercentWhiteUndergrad,PercentNativeAmericanUndergrad,NPercentNativeAmericanUndergrad,PercentAsianUndergrad,NPercentAsianUndergrad,PercentPacificIslanderUndergrad,NPercentPacificIslanderUndergrad,Percent2016CohortGotPellGrants,NPercent2016CohortGotPellGrants,TotalSixYearGraduation Rate %2016Cohort,NTotalSixYearGraduation Rate %2016Cohort,RetentionRateUndergradFirstYear%,NRetentionRateUndergradFirstYear%,PercentFTFYMenApplied,NPercentFTFYMenApplied,PercentFTFYWomenApplied,NPercentFTFYWomenApplied,PercentFTFYOtherGenderApplied,NPercentFTFYOtherGenderApplied,FTFYTotalApplied,NFTFYTotalApplied,PercentFTFYMenAdmitted,NPercentFTFYMenAdmitted,PercentFTFYWomenAdmitted,NPercentFTFYWomenAdmitted,PercentOtherGenderAdmitted,NPercentOtherGenderAdmitted,FTFYTotalAdmitted,NFTFYTotalAdmitted,PercentFTFYMenEnrolled,NPercentFTFYMenEnrolled,PercentFTFYWomenEnrolled,NPercentFTFYWomenEnrolled,PercentFTFYOtherGenderEnrolled,NPercentFTFYOtherGenderEnrolled,FTFYTotalEnrolled,NFTFYTotalEnrolled,HSCompletionRequirement,ACTUsedForAdmissionDecisions?,FTFYGPAAvg,NFTFYGPAAvg,ResidentApplicationFee(inDollars),NResidentApplicationFee(inDollars),ApplicationFeeCanBeWaived?,PercentTransferMenEnrolled,NPercentTransferMenEnrolled,PercentTransferWomenEnrolled,NPercentTransferWomenEnrolled,PercentEnrolledStudentsTransfer,NPercentEnrolledStudentsTransfer,PercentUndergradOutOfState,NPercentUndergradOutOfState,PercentUndergradOnCampus,NPercentUndergradOnCampus,PercentUndergradOffCampus,NPercentUndergradOffCampus,AverageUndergradStudentAge,NAverageUndergradStudentAge,InStateTuitionCost,NInStateTuitionCost,OutStateTuitionCost,NOutStateTuitionCost,NonresidentTuitionCost,NNonresidentTuitionCost,TotalNeedBasedScholarship,NTotalNeedBasedScholarship,TotalNonNeedScholarship,NTotalNonNeedScholarship,PercentUndergradApplyForNeedBasedFinancialAid,NPercentUndergradApplyForNeedBasedFinancialAid,PercentUndergradAppliedNeedBasedFinancialAidReceived,NPercentUndergradAppliedNeedBasedFinancialAidReceived,PercentUndergradGotNeedBasedFinancialAid,NPercentUndergradGotNeedBasedFinancialAid,PercentOfNeed-BasedAidMetForStudents,NPercentOfNeed-BasedAidMetForStudents,AvgNeedBasedScholarshipAmount,NAvgNeedBasedScholarshipAmount,NoFinancialNeedFTStudentsAwardedScholarship,NNoFinancialNeedFTStudentsAwardedScholarship,AvgNoNeedScholarship,NAvgNoNeedScholarship,PercentFirstTimeStudentsBorrowedAnyLoanProgram,NPercentFirstTimeStudentsBorrowedAnyLoanProgram,FirstTimeStudentsAvgBorrowedAnyLoanProgram,NFirstTimeStudentsAvgBorrowedAnyLoanProgram,NonresidentStudentsAwardedAid,NNonresidentStudentsAwardedAid,AvgAmountAwardedNonresidentStudents,NAvgAmountAwardedNonresidentStudents,Student/FacultyRatio,NStudent/FacultyRatio,Current Minimum Wage,NCurrent Minimum Wage,Preemption,PreemptionCat,NPreemption,Hypertension,NHypertension,Cardiovascular Disease,NCardiovascular Disease,Avoided Care Due To Cost,NAvoided Care Due To Cost,Drug Deaths (per 100.000),NDrug Deaths (per 100.000),Suicide (per 100.000),NSuicide (per 100.000),High Cholesterol,NHigh Cholesterol,Depression Women,NDepression Women,Multiple Chronic Conditions,NMultiple Chronic Conditions,Income Inequality,NIncome Inequality,Violent Crime Rate (per 100.000),NViolent Crime Rate (per 100.000),Child Mortality,NChild Mortality,Infant Mortality (per 100.000),NInfant Mortality (per 100.000),Percent Black,NPercent Black,Percent White,NPercent White,Median Wage,NMedian Wage,Cost Of Living Index,NCost Of Living Index,Housing Insecurity,NHousing Insecurity,Food Insecurity,NFoodInsecurity
Auburn University,Alabama,49.97832854,0.459046267,50.02167146,-0.44894801,0,-0.256262197,25379,0.002461841,46.89115114,0.26366827,53.10884886,-0.134099171,0,-0.248704113,6385,-0.412504375,49.35776351,0.420614224,50.64223649,-0.406017559,31764,-0.12610659,2.361163581,-0.394690957,3.157662763,-0.734321597,3.396927339,-0.428771828,65.96776225,1.48574901,0.198337741,-0.192915772,2.219493767,-0.825447184,0.05037149,-0.120488706,12.76219916,-1.218996119,80.6,0.632811018,91.84,0.783456919,40.59265095,-0.623076293,59.40734905,0.626733917,0,-0.24365733,45693,0.277498508,41.32979788,-0.253167469,58.67020212,0.302985981,0,-0.246166294,19988,-0.115902219,46.78483877,0.053351018,53.21516123,-0.199552112,0,-0.241001764,5303,0.030906681,GEDorHSDiplomaAccepted,No,4.07,1.503576212,50,-0.202588968,Yes,52.72078501,0.616991858,47.27921499,-0.576766933,4.417037708,-0.67109345,40,1.054843758,17,-1.135797565,83,1.08299575,20,-0.952089623,10392,-0.11503208,31176,-0.060899955,31306,-0.067726622,57697864,-0.798681562,74635235,0.725809331,71.66978546,0.039631508,35.61843463,-1.866945318,25.52765569,-1.397301569,48,-1.057331648,9189,-0.503252213,5785,0.78532263,7739,0.263982564,38.3,-0.904273429,31893,0.843868528,0,-0.679681185,0,-1.143222491,20,0.729682384,7.25,-0.965252481,1,Yes,0.785275994,0.43,2.160582601,0.12,1.902193594,0.11,0.380446249,21.3,-0.610310945,16.2,0.29407202,0.4,1.849009475,0.22,0.583382634,0.15,2.039987718,5.27,1.027317286,454,0.545660328,38.8,1.797707367,7.3,1.321824436,0.26,1.245869668,0.67,-0.739291392,50620,-1.130884887,88.8,-0.846512916,0.14,-0.398409657,0.13,1.164546686
University of Alabama,Alabama,43.60096124,-0.598548997,56.39903876,0.602117206,0,-0.256262197,32458,0.631677754,38.05366958,-0.776403645,61.94633042,0.844832224,0,-0.248704113,6186,-0.451257617,42.71296967,-0.641459804,57.28703033,0.64967498,38644,0.347978124,0.910878791,-1.001026983,4.818341787,-0.588104742,9.191595073,0.50019281,61.29541455,1.20853751,0.307939137,-0.031394575,1.260221509,-0.953720687,0.08798261,-0.089490684,16.92083278,-0.869590747,72.8,0.036964549,86.7,0.063238167,39.85426838,-0.7415905,60.14573162,0.735235589,0,-0.24365733,54072,0.587233676,39.56802957,-0.563029007,60.43197043,0.618654774,0,-0.246166294,43290,2.147643929,43.42416324,-0.338720612,56.57583676,0.105540958,0,-0.241001764,8037,1.152122047,GEDorHSDiplomaAccepted,No,3.77,0.147892742,40,-0.726252356,Yes,49.62279966,0.145100373,50.37720034,-0.109773117,3.675519132,-0.955318883,59.6,2.270366548,27.8,-0.253499718,72.2,0.268348884,21,-0.004879567,11100,0.102908122,31460,-0.024514531,31460,-0.048028059,107067519,-0.181794184,200065652,3.691696674,56.1088473,-1.315006518,55.48990645,-0.317479236,31.13474687,-0.939973677,57.1,-0.450306405,13064,0.311292502,9650,2.154799227,31101,6.85012856,48.1,-0.00632139,38615,2.020803489,139,-0.297235455,34465,2.861348116,19,0.398510349,7.25,-0.965252481,1,Yes,0.785275994,0.43,2.160582601,0.12,1.902193594,0.11,0.380446249,21.3,-0.610310945,16.2,0.29407202,0.4,1.849009475,0.22,0.583382634,0.15,2.039987718,5.27,1.027317286,454,0.545660328,38.8,1.797707367,7.3,1.321824436,0.26,1.245869668,0.67,-0.739291392,50620,-1.130884887,88.8,-0.846512916,0.14,-0.398409657,0.13,1.164546686
University of Alabama at Birmingham,Alabama,37.47697974,-1.614123845,62.52302026,1.611421458,0,-0.256262197,13032,-1.094999506,35.07610085,-1.126829905,64.92389915,1.174658712,0,-0.248704113,8607,0.020207708,36.52202043,-1.630993348,63.47797957,1.633262895,21639,-0.823796667,1.51578169,-0.748128778,4.265446647,-0.636785184,15.29183419,1.478144729,30.78238366,-0.601807869,0.092425713,-0.348999893,4.926290494,-0.463495407,0.027727714,-0.139151066,39.7515528,1.048629745,64.2,-0.619994378,82.4,-0.539279465,34.69387755,-1.569859819,65.30612245,1.493529533,0,-0.24365733,9947,-1.043875558,33.28694039,-1.66775313,66.71305961,1.744083032,0,-0.246166294,8622,-1.219990517,34.05502932,-1.431766216,65.94497068,0.95610145,0,-0.241001764,2217,-1.234664137,GEDorHSDiplomaAccepted,Yes,3.79,0.23827164,40,-0.726252356,Yes,40.070609,-1.30990891,59.929391,1.330134907,8.693984039,0.96826794,13.6,-0.582391022,25.1,-0.47407418,74.9,0.4720106,22.3,1.226493506,11040,0.084438614,27330,-0.553640591,29730,-0.269317115,23814319,-1.222065748,59172338,0.360178637,72.26931696,0.091822974,50.37076985,-0.716640839,36.40261132,-0.510313937,53.2,-0.71046008,6249,-1.12125517,2955,-0.217424788,8993,0.617506538,56.4,0.754189011,28048,0.17065893,152,-0.261467149,20788,1.272184843,18,0.067338314,7.25,-0.965252481,1,Yes,0.785275994,0.43,2.160582601,0.12,1.902193594,0.11,0.380446249,21.3,-0.610310945,16.2,0.29407202,0.4,1.849009475,0.22,0.583382634,0.15,2.039987718,5.27,1.027317286,454,0.545660328,38.8,1.797707367,7.3,1.321824436,0.26,1.245869668,0.67,-0.739291392,50620,-1.130884887,88.8,-0.846512916,0.14,-0.398409657,0.13,1.164546686
University of Alabama in Huntsville,Alabama,59.49225833,2.036795612,40.50774167,-2.016955652,0,-0.256262197,7169,-1.616131432,51.64410058,0.823036818,48.35589942,-0.660585297,0,-0.248704113,2068,-1.253196573,57.73519541,1.759625344,42.26480459,-1.736983208,9237,-1.67838949,1.147558731,-0.902075677,5.185666342,-0.555763127,6.92865649,0.137412748,54.51986576,0.806542589,0.671213597,0.503968366,3.182851575,-0.696627363,0.119086283,-0.063855916,20.28499581,-0.586936216,62.95,-0.715482594,80,-0.875568377,50.56441498,0.977443218,49.43558502,-0.838567553,0,-0.24365733,5581,-1.205267578,53.22321633,1.838658628,46.77678367,-1.828043977,0,-0.246166294,4359,-1.634096484,65.25129983,2.207732016,36.3084922,-1.734394591,0,-0.241001764,1154,-1.670601202,GEDorHSDiplomaAccepted,Yes,3.715,-0.100649227,30,-1.249915745,Yes,52.35772358,0.561689596,47.64227642,-0.522038642,8.578602316,0.924041914,14,-0.557584434,26,-0.400549359,74,0.404123361,22,0.942330489,10120,-0.198760519,23012,-1.106852776,23012,-1.128634964,23966311,-1.220166567,27381484,-0.391537683,64.69885685,-0.567213971,66.21835443,0.519065052,42.84251834,0.014940425,68.6,0.316813408,9393,-0.460370375,2200,-0.484942209,10275,0.978924189,44,-0.381995202,21231,-1.022909298,70,-0.487082616,15468,0.654041346,17,-0.263833721,7.25,-0.965252481,1,Yes,0.785275994,0.43,2.160582601,0.12,1.902193594,0.11,0.380446249,21.3,-0.610310945,16.2,0.29407202,0.4,1.849009475,0.22,0.583382634,0.15,2.039987718,5.27,1.027317286,454,0.545660328,38.8,1.797707367,7.3,1.321824436,0.26,1.245869668,0.67,-0.739291392,50620,-1.130884887,88.8,-0.846512916,0.14,-0.398409657,0.13,1.164546686
Arizona State University,Arizona,50.92377695,0.615835379,49.07622305,-0.604769039,0,-0.256262197,65492,3.567900169,55.32834694,1.256631066,44.67165306,-1.068690751,0,-0.248704113,14573,1.18202602,51.72547305,0.799058291,48.27452695,-0.782187739,80065,3.202202389,5.531755449,0.930872193,21.03665772,0.839860043,3.477174795,-0.415907061,36.59276838,-0.257076362,0.90551427,0.849260731,7.1054768,-0.172095485,0.169861987,-0.022008015,32.38303454,0.429532199,38.6,-2.575593044,85.4,-0.118918326,49.53262876,0.811836213,50.34525869,-0.704895501,0,-0.24365733,68789,1.131257123,48.64996194,1.034310163,51.22855893,-1.030387148,0,-0.246166294,61739,3.939771767,50.77552637,0.518922711,49.0264669,-0.579815426,0,-0.241001764,15151,4.069578562,GEDorHSDiplomaAccepted,No,3.55,-0.846275136,50,-0.202588968,Yes,50.80831409,0.325680363,49.19168591,-0.288478903,5.95034508,-0.083373916,29,0.3726626,24.4,-0.531260151,75.6,0.524811786,21,-0.004879567,10978,0.065353455,29952,-0.217716007,32760,0.118258515,364647439,3.036737551,234170424,4.498127155,71.79213145,0.050282186,68.09639003,0.66550375,48.88784984,0.508012254,60,-0.2568588,12143,0.117693616,17513,4.940878007,9550,0.774534332,41,-0.656878479,23515,-0.62301054,2289,5.618292037,10349,0.059252519,19,0.398510349,12.8,1.11981583,1,Yes,0.785275994,0.31,-0.626357823,0.08,-0.333024991,0.11,0.380446249,35.1,0.788928546,18.4,0.841966682,0.35,-0.416484808,0.18,-0.759754128,0.09,-0.571548283,4.35,-1.147672449,485,0.809589649,32.1,0.74003547,5.6,-0.187422868,0.06,-0.90668002,0.77,0.285776504,58620,-0.123505705,107.2,0.308030306,0.16,0.406540467,0.1,-0.307242104
University of Arizona,Arizona,44.52198876,-0.44580974,55.4730616,0.449505268,0.004949637,-0.246211136,40407,1.338223494,44.44858768,-0.023793903,55.2717442,0.105485617,0.279668127,0.013642596,10727,0.43305632,44.50659053,-0.354775495,55.4308288,0.354770705,51134,1.208634822,3.723549889,0.174896414,20.99385927,0.836091792,3.123166582,-0.472659429,37.26483357,-0.217202575,0.970000391,0.94429488,3.985606446,-0.589283302,0.162318614,-0.02822505,29.79823245,0.212359008,67.93,-0.335057541,85.6,-0.09089425,44.90528376,0.069123496,55.09471624,-0.006986173,0,-0.24365733,52103,0.514448314,43.95618984,0.208764924,56.04381016,-0.167603696,0,-0.246166294,45195,2.3326948,42.23177859,-0.477829607,57.76822141,0.21378952,0,-0.241001764,9069,1.575345989,GEDorHSDiplomaAccepted,Yes,3.53,-0.936654034,50,-0.202588968,Yes,48.1741573,-0.075559804,51.8258427,0.108596871,7.048283713,0.33746798,44,1.302909633,22,-0.727326339,78,0.705844423,22,0.942330489,11210,0.136768888,35628,0.509480002,35628,0.48511228,59370670,-0.777779392,4665025,-0.928683774,64.33297126,-0.599065684,69.91557943,0.807353951,44.97876963,0.189178237,64,0.009965483,13534,0.410088893,9481,2.094917844,12065,1.483555699,40.88,-0.66787381,25078,-0.349349525,791,1.49668265,17797,0.924653415,18,0.067338314,12.8,1.11981583,1,Yes,0.785275994,0.31,-0.626357823,0.08,-0.333024991,0.11,0.380446249,35.1,0.788928546,18.4,0.841966682,0.35,-0.416484808,0.18,-0.759754128,0.09,-0.571548283,4.35,-1.147672449,485,0.809589649,32.1,0.74003547,5.6,-0.187422868,0.06,-0.90668002,0.77,0.285776504,58620,-0.123505705,107.2,0.308030306,0.16,0.406540467,0.1,-0.307242104
University of Arkansas,Arkansas,44.20800183,-0.497879987,55.79199817,0.502069769,0,-0.256262197,26269,0.081569365,6.749418154,-4.460561006,8.336565813,-5.093543013,0,-0.248704113,30936,4.368555191,44.28820791,-0.389680793,55.71179209,0.399408787,30936,-0.183162134,1.315619343,-0.831812785,9.092966124,-0.211739338,3.659167313,-0.386731167,62.84910784,1.300718502,0.694983191,0.538997968,2.38233773,-0.803671754,0.106671839,-0.074087549,19.29931146,-0.669752698,69.19,-0.238805419,85.58,-0.093696658,41.81610072,-0.4267063,58.18389928,0.446954017,0,-0.24365733,26210,-0.442703218,40.57802909,-0.385389301,59.42197091,0.437685842,0,-0.246166294,20691,-0.047613105,44.60259301,-0.201239657,55.39740699,-0.001440734,0,-0.241001764,7096,0.766217271,GEDorHSDiplomaAccepted,Yes,3.76,0.102703293,40,-0.726252356,Yes,45.50408719,-0.482270363,54.49591281,0.511086259,5.588336062,-0.222132638,52,1.799041385,29,-0.155466624,71,0.177832565,21,-0.004879567,7666,-0.954163422,26690,-0.635635912,26690,-0.658171873,55769755,-0.822773813,50197669,0.147966497,64.2241747,-0.608536832,43.05352636,-1.287198505,27.65077199,-1.224135078,55.4,-0.563706725,8582,-0.630846701,4013,0.157453929,5734,-0.30126111,46.98,-0.10894448,28468,0.244195479,121,-0.346760801,15490,0.656597579,20,0.729682384,11,0.443577459,1,Yes,0.785275994,0.41,1.696092531,0.11,1.343388948,0.12,0.739152713,18.5,-0.894214609,19.5,1.115914013,0.37,0.489712906,0.25,1.590735206,0.14,1.604731718,4.8,-0.083818774,672,2.401679429,37.5,1.592487447,7.3,1.321824436,0.16,0.169594824,0.78,0.388283294,48570,-1.389025802,90.3,-0.752392544,0.13,-0.800884719,0.15,2.145739212
"University of California, Berkeley",California,44.01937194,-0.529161559,55.1734641,0.400128072,0.003045902,-0.250076987,32831,0.664831807,50.78209695,0.721588712,48.4590367,-0.649160739,0.758866347,0.46316138,12914,0.858952507,45.92851678,-0.127501184,53.27795387,0.012732404,45745,0.837291432,9.096076074,2.421045722,14.44529457,0.259514063,1.466826976,-0.738193363,14.38408569,-1.574722788,0.076511094,-0.372453503,24.89233796,2.206356483,0.098371407,-0.080928531,19.40635586,-0.660758905,94,1.656444695,96,1.366357698,45.60151607,0.18087237,50.07564768,-0.744513507,1.908349321,2.782707913,128226,3.328384364,34.52169153,-1.450583889,60.71575202,0.669501977,2.066511564,3.27525088,14614,-0.637930243,38.92358014,-0.863779024,58.75706215,0.303559703,1.516503122,2.324223124,6726,0.614480005,GEDorHSDiplomaAccepted,Yes,3.9,0.735355579,70,0.84473781,Yes,45.48170276,-0.485680005,51.00821509,-0.01465324,8.156924858,0.762412169,15,-0.495567965,27,-0.318855114,73,0.328693096,20,-0.952089623,12522,0.540635477,45096,1.722498291,45096,1.696190189,370684276,3.112169485,29648473,-0.33793319,99.99675546,2.505600484,42.77092797,-1.309233945,42.76954025,0.008988156,84.7,1.390781145,26334,3.100714015,1978,-0.56360296,7288,0.136837977,28,-1.848039347,16419,-1.865428047,0,-0.679681185,0,-1.143222491,19.4,0.530979163,14,1.570641411,0,No,-1.260574622,0.28,-1.323092928,0.06,-1.450634284,0.09,-0.336966678,22.4,-0.498777362,10.6,-1.100568937,0.34,-0.869583664,0.15,-1.7671067,0.07,-1.442060283,5.25,0.980034901,442,0.443494139,20,-1.170088403,4.2,-1.430332412,0.07,-0.799052536,0.64,-1.046811761,73220,1.714961301,134.5,2.021021065,0.2,2.016440715,0.1,-0.307242104
"University of California, Irvine",California,43.59931614,-0.598821813,55.54237466,0.460928876,0.858309201,1.486677309,28661,0.294181947,48.9347079,0.504171855,50.10309278,-0.467047984,0.962199313,0.653900793,7275,-0.239185854,44.6794301,-0.327149594,54.44122885,0.197547877,35936,0.161376176,10.42686999,2.977424924,21.13757792,0.848745706,1.600066785,-0.716833196,10.43243544,-1.809175137,0.102960819,-0.333474152,30.37344167,2.939287481,0.114091719,-0.067972294,37.83825103,0.887875521,86.645,1.094592031,91.4,0.721803952,45.89803606,0.228465356,54.10196394,-0.15286622,0,-0.24365733,119199,2.994695456,39.36035965,-0.599554196,60.63964035,0.655864498,0,-0.246166294,25358,0.405737246,38.59164653,-0.902503902,61.40835347,0.544252565,0,-0.241001764,5794,0.232266134,GEDorHSDiplomaAccepted,No,3.715,-0.100649227,70,0.84473781,Yes,49.46686976,0.12134881,48.97182026,-0.3216217,9.162276264,1.147765211,6,-1.053716185,44,1.069947052,56,-0.953621416,21,-0.004879567,11834,0.328851778,42611,1.404125832,42611,1.378327007,367589125,3.073494724,13864896,-0.71114658,100.8381806,2.578849698,56.61208842,-0.229977771,57.08659995,1.176722104,83,1.277380825,23039,2.408088251,1046,-0.893836386,8406,0.452021233,39.49,-0.795236396,16947,-1.772982099,60,-0.514596697,20432,1.230820354,18,0.067338314,14,1.570641411,0,No,-1.260574622,0.28,-1.323092928,0.06,-1.450634284,0.09,-0.336966678,22.4,-0.498777362,10.6,-1.100568937,0.34,-0.869583664,0.15,-1.7671067,0.07,-1.442060283,5.25,0.980034901,442,0.443494139,20,-1.170088403,4.2,-1.430332412,0.07,-0.799052536,0.64,-1.046811761,73220,1.714961301,134.5,2.021021065,0.2,2.016440715,0.1,-0.307242104
"University of California, Los Angeles",California,39.18514635,-1.330848814,59.85257379,1.171300439,0.962279863,1.697807021,32423,0.628566784,49.28288662,0.545148563,49.51002661,-0.532742163,1.207086767,0.883620992,15409,1.344828586,42.43811674,-0.685391063,56.52073925,0.527930379,47832,0.981101722,6.190416458,1.206245624,15.02132464,0.310231453,2.247449406,-0.613048892,17.39630373,-1.396007175,0.125439037,-0.30034767,19.83818364,1.530516986,0.117076434,-0.065512376,34.62184874,0.61763574,92.4,1.534219778,96.4,1.42240585,43.95554517,-0.083314441,52.31852618,-0.41493359,3.725928645,5.665125106,149815,4.126435746,38.22796637,-0.798720636,59.11709748,0.38305946,2.654936157,4.277949585,12844,-0.809867273,36.72237697,-1.120581357,62.08604147,0.605775288,1.191581554,1.774605467,6462,0.506213415,GEDorHSDiplomaAccepted,No,3.93,0.870923926,70,0.84473781,Yes,40.06032355,-1.311475611,57.88319166,1.021688504,11.24818801,1.947299017,13.6,-0.582391022,58,2.213666483,42,-2.009645132,20.7,-0.289042584,12522,0.540635477,45096,1.722498291,45096,1.696190189,336632507,2.686683293,16185368,-0.656277445,54.37007374,-1.466373278,85.1288946,1.993603065,46.28464277,0.295688402,84.4,1.370769324,23600,2.526013305,1247,-0.822616516,6573,-0.06473271,33,-1.389900552,17920,-1.602622427,142,-0.28898123,27591,2.06264165,18,0.067338314,14,1.570641411,0,No,-1.260574622,0.28,-1.323092928,0.06,-1.450634284,0.09,-0.336966678,22.4,-0.498777362,10.6,-1.100568937,0.34,-0.869583664,0.15,-1.7671067,0.07,-1.442060283,5.25,0.980034901,442,0.443494139,20,-1.170088403,4.2,-1.430332412,0.07,-0.799052536,0.64,-1.046811761,73220,1.714961301,134.5,2.021021065,0.2,2.016440715,0.1,-0.307242104
